Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised (Millions),Stage,Date_Added,Country,List_of_Employees_Laid_Off,Sum of Employees,Average # of Employees Laid Off,Average Layoff %,Total Funds Raised,Average Funds Raised,,
Confluent,SF Bay Area,Data,221,8%,1/26/2023,https://investors.confluent.io/node/8216/html,455.00,IPO,1/26/2023 16:16,United States,Unknown,,,,,,,
IBM,New York City,Hardware,3900,2%,1/25/2023,https://www.bloomberg.com/news/articles/2023-01-25/ibm-to-cut-about-3-900-workers-still-hiring-in-higher-growth-areas,,IPO,1/25/2023 23:13,United States,Unknown,,,,,,,
Lam Research,SF Bay Area,Hardware,1300,7%,1/25/2023,https://www.bloomberg.com/news/articles/2023-01-25/lam-research-to-cut-7-of-workforce-after-forecast-disappoints?leadSource=uverify%20wall,,IPO,2/1/2023 17:05,United States,Unknown,,,,,,,
Luno,London,Crypto,330,35%,1/25/2023,https://www.cnbc.com/2023/01/25/dcg-owned-crypto-exchange-luno-axes-35percent-of-staff.html,13.00,Acquired,1/25/2023 19:22,United Kingdom,Unknown,,,,,,,
Clear Capital,Reno,Real Estate,250,25%,1/25/2023,https://www.rgj.com/story/news/money/business/2023/01/25/more-layoffs-at-reno-based-clear-capital-amid-seismic-housing-shift/69842319007/,,Unknown,1/26/2023 1:58,United States,Unknown,,,,,,,
Guardant Health,SF Bay Area,Healthcare,130,7%,1/25/2023,https://www.genomeweb.com/business-news/guardant-health-lays-7-percent-workforce#.Y9HcqOzMK8A,550.00,IPO,1/26/2023 1:51,United States,Unknown,,,,,,,
SirionLabs,Seattle,Legal,130,15%,1/25/2023,https://inc42.com/buzz/exclusive-days-after-raising-25-mn-funding-tiger-backed-sirionlabs-lays-off-around-150-employees/,171.00,Series D,1/26/2023 1:48,United States,Unknown,,,,,,,
Tier Mobility,Berlin,Transportation,80,7%,1/25/2023,https://techcrunch.com/2023/01/25/tier-mobility-and-spin-lay-off-100-more-employees/,646.00,Series D,1/26/2023 1:56,Germany,Unknown,,,,,,,
Vacasa,Portland,Travel,1300,17%,1/24/2023,https://www.oregonlive.com/business/2023/01/vacasa-will-lay-off-1300-we-need-to-reduce-our-costs.html,834.00,IPO,1/25/2023 0:20,United States,Unknown,,,,,,,
Innovaccer,SF Bay Area,Healthcare,245,15%,1/24/2023,https://digitalhealth.modernhealthcare.com/digital-health/digital-health-unicorn-innovaccer-lays-15-its-employees,379.00,Series E,1/24/2023 16:21,United States,Unknown,,,,,,,
Bolt,SF Bay Area,Finance,50,10%,1/24/2023,https://www.theinformation.com/articles/bolt-ceo-cuts-staff-a-third-time-as-revenue-lags,1300.00,Series E,1/25/2023 2:12,United States,Unknown,,,,,,,
PartnerStack,Toronto,Sales,40,20%,1/24/2023,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,36.00,Series B,1/24/2023 23:03,Canada,Unknown,,,,,,,
Gitpod,Kiel,Product,21,28%,1/24/2023,https://www.gitpod.io/blog/building-for-the-long-run,41.00,Series A,1/25/2023 15:00,Germany,Unknown,,,,,,,
Venngage,Toronto,Marketing,11,20%,1/24/2023,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,,Unknown,1/25/2023 5:21,Canada,https://docs.google.com/spreadsheets/d/1ZHCjaA7r0fEJLSR1tCTFxzUQIbzBvrssKQjJMUZC_1Y/edit#gid=0,,,,,,,
Spotify,Stockholm,Media,600,6%,1/23/2023,https://www.reuters.com/technology/spotify-trim-6-workforce-2023-01-23/,2100.00,IPO,1/23/2023 15:43,Sweden,https://docs.google.com/spreadsheets/d/1Qd3VP_92HlU39iGbf303WlZ_is_QN7J0bb2vzr9J624/edit?resourcekey#gid=2039146764,,,,,,,
Uber Freight,SF Bay Area,Logistics,150,3%,1/23/2023,https://www.freightwaves.com/news/uber-freight-cutting-about-150-jobs-all-in-brokerage-operations,2700.00,Subsidiary,1/24/2023 16:24,United States,Unknown,,,,,,,
Innovid,New York City,Marketing,40,10%,1/23/2023,https://www.marketwatch.com/amp/story/innovid-will-cut-10-of-jobs-01674512868,295.00,IPO,1/24/2023 16:28,United States,Unknown,,,,,,,
Ermetic,SF Bay Area,Security,30,17%,1/23/2023,https://www.calcalistech.com/ctechnews/article/h1abeu2io,97.00,Series B,1/25/2023 0:11,United States,Unknown,,,,,,,
Namogoo,Tel Aviv,Marketing,20,15%,1/23/2023,https://www.calcalistech.com/ctechnews/article/skhuvq2ii,69.00,Series C,1/24/2023 5:24,United States,Unknown,,,,,,,
Google,SF Bay Area,Consumer,12000,6%,1/20/2023,https://www.nytimes.com/2023/01/20/business/google-alphabet-layoffs.html,26.00,IPO,1/20/2023 14:23,United States,Unknown,,,,,,,
Wayfair,Boston,Retail,1750,10%,1/20/2023,https://www.wsj.com/articles/wayfair-is-preparing-to-lay-off-more-than-1-000-workers-11674161122,1700.00,IPO,1/20/2023 14:25,United States,Unknown,,,,,,,
Swiggy,Bengaluru,Food,380,6%,1/20/2023,https://economictimes.indiatimes.com/tech/startups/swiggy-to-layoff-380-employees-ceo-majety-tells-staff/articleshow/97164568.cms,3600.00,Unknown,1/20/2023 1:19,India,Unknown,,,,,,,
Vox Media,Washington D.C.,Media,130,7%,1/20/2023,https://variety.com/2023/digital/news/vox-media-layoffs-130-employees-job-cuts-1235496467/,307.00,Series F,1/21/2023 0:56,United States,Unknown,,,,,,,
Enjoei,Sao Paulo,Retail,31,10%,1/20/2023,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/depois-do-ipo-e-da-queda-enjoei-faz-a-sua-demissao-em-massa,e1d6c15174934d1010733071113dff43zabh1zv5.html",14.00,Unknown,1/23/2023 23:16,Brazil,Unknown,,,,,,,
Citrine Informatics,SF Bay Area,Data,22,27%,1/20/2023,https://www.linkedin.com/posts/gregorymulholland_this-week-was-a-hard-one-for-our-team-at-activity-7022310417347596288-0cd3/,64.00,Series C,1/21/2023 1:03,United States,Unknown,,,,,,,
Hubilo,SF Bay Area,Other,115,35%,1/19/2023,https://inc42.com/buzz/hubilo-fires-35-of-its-workforce-in-second-round-of-layoffs-within-6-months/,153.00,Series B,1/20/2023 1:03,United States,Unknown,,,,,,,
Saks.com,New York City,Retail,100,5%,1/19/2023,https://wwd.com/business-news/retail/saks-com-triggering-layoffs-1235484907/,965.00,Unknown,1/21/2023 0:37,United States,Unknown,,,,,,,
CS Disco,Austin,Legal,62,9%,1/19/2023,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001625641/f8a9ad04-6c29-4631-b07d-b08d849fbcfa.pdf,233.00,IPO,1/21/2023 0:54,United States,Unknown,,,,,,,
Microsoft,Seattle,Other,10000,5%,1/18/2023,https://www.usatoday.com/story/money/2023/01/18/microsoft-layoffs-10000-employees-stock/11074235002/,1.00,IPO,1/18/2023 2:05,United States,Unknown,,,,,,,
Sophos,Oxford,Security,450,10%,1/18/2023,https://techcrunch.com/2023/01/18/sophos-global-layoffs/,125.00,Acquired,1/18/2023 16:00,United States,Unknown,,,,,,,
Teladoc Health,New York City,Healthcare,300,6%,1/18/2023,https://digitalhealth.modernhealthcare.com/finance/teladoc-health-layoffs-staff-cut-jason-gorevic,172.00,IPO,1/18/2023 19:49,United States,Unknown,,,,,,,
Vroom,New York City,Transportation,275,20%,1/18/2023,https://seekingalpha.com/news/3925618-vroom-slashes-workforce-by-20,1300.00,IPO,1/20/2023 1:00,United States,Unknown,,,,,,,
8x8,SF Bay Area,Support,155,7%,1/18/2023,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,253.00,IPO,1/18/2023 23:18,United States,Unknown,,,,,,,
Pagaya,New York City,Finance,140,20%,1/18/2023,https://www.calcalistech.com/ctechnews/article/rjdsyoboo,571.00,IPO,1/18/2023 19:48,United States,Unknown,,,,,,,
Benevity,Calgary,Other,137,14%,1/18/2023,https://benevity.com/message-kelly-schmitt,69.00,Unknown,1/18/2023 19:52,Canada,https://benevity.com/benevity-talent,,,,,,,
Inspirato,Denver,Travel,109,12%,1/18/2023,https://sports.yahoo.com/inspirato-announces-plan-streamline-operations-233000003.html,179.00,IPO,1/20/2023 1:07,United States,Unknown,,,,,,,
Jumpcloud,Boulder,Security,100,12%,1/18/2023,https://jumpcloud.com/blog/jumpcloud-restructuring,416.00,Series F,1/18/2023 22:01,United States,Unknown,,,,,,,
nCino,Wilmington,Finance,100,7%,1/18/2023,https://portcitydaily.com/local-news/2023/01/18/ncino-lays-off-7-of-workforce-cites-challenges-in-global-economy/,1100.00,IPO,1/19/2023 4:09,United States,Unknown,,,,,,,
Starry,Boston,Other,100,24%,1/18/2023,https://seekingalpha.com/news/3925492-starry-group-announces-24-job-cuts,260.00,IPO,1/18/2023 23:22,United States,https://docs.google.com/spreadsheets/d/1rmKxXAUxQpZN95iqtZaFj8P03sLUXDPfQmj_jqXHRuw/edit#gid=897722994,,,,,,,
Hootsuite,Vancouver,Marketing,70,7%,1/18/2023,https://www.theglobeandmail.com/business/article-hootsuite-replaces-ceo-announces-layoffs/,300.00,Series C,1/18/2023 19:54,Canada,Unknown,,,,,,,
Clue,Berlin,Healthcare,31,31%,1/18/2023,https://www.businessinsider.de/gruenderszene/business/fruchtbarkeits-startup-clue-entlaesst-viertel-der-belegschaft-a/,47.00,Unknown,1/18/2023 19:56,Germany,Unknown,,,,,,,
Addepar,SF Bay Area,Finance,20,3%,1/18/2023,https://fortune.com/2023/01/17/addepar-a-wealth-management-startup-launched-by-the-co-founder-of-palantir-is-the-latest-fintech-to-cut-jobs/,491.00,Series F,1/18/2023 15:58,United States,Unknown,,,,,,,
Lightspeed Commerce,Montreal,Retail,300,10%,1/17/2023,https://www.prnewswire.com/news-releases/lightspeed-commerce-streamlines-operations-with-a-continued-focus-on-profitable-growth-301723292.html,1200.00,IPO,1/17/2023 16:45,Canada,Unknown,,,,,,,
Unity,SF Bay Area,Other,284,3%,1/17/2023,https://www.wsj.com/articles/unity-software-lays-off-more-workers-as-tech-job-cuts-grow-11673974721,1300.00,IPO,1/17/2023 19:58,United States,Unknown,,,,,,,
Britishvolt,London,Transportation,206,100%,1/17/2023,https://www.nytimes.com/2023/01/17/business/uk-britishvolt-battery-maker-bankruptcy.html,2400.00,Unknown,1/18/2023 2:07,United Kingdom,Unknown,,,,,,,
Exotel,Bengaluru,Support,142,15%,1/17/2023,https://inc42.com/buzz/exclusive-saas-startup-exotel-lays-off-142-employees-amid-biz-restructuring/,87.00,Series D,1/18/2023 2:10,India,Unknown,,,,,,,
Unico,Sao Paulo,Other,110,10%,1/17/2023,https://startups.com.br/noticias/unicornio-unico-demite-cerca-de-110-pessoas-105-da-forca/,336.00,Series D,1/18/2023 2:12,Brazil,Unknown,,,,,,,
American Robotics,Boston,Other,50,65%,1/17/2023,https://www.bostonglobe.com/2023/01/17/business/new-year-brings-new-tech-layoffs/,92.00,Acquired,1/20/2023 4:44,United States,https://docs.google.com/spreadsheets/d/1REpbP_AUx5LRUDexyTbfAJJp6-pYkjssTdcDvX6FioM/edit#gid=1563244864,,,,,,,
PagBank,Sao Paulo,Finance,500,7%,1/16/2023,"https://www.terra.com.br/amp/economia/dinheiro-em-dia/meu-negocio/pagbank-faz-sua-onda-de-layoffs-e-demite-7-do-quadro,718b40b34ae12981e16f3f1a17a25359dzxawknq.html",,IPO,1/17/2023 4:25,Brazil,https://docs.google.com/spreadsheets/u/1/d/16EYANYICC6CF6gbBG5NOe50GDv69_sU6J6DB4sxeAGU/htmlview?usp=sharing,,,,,,,
ShareChat,Bengaluru,Consumer,500,20%,1/16/2023,https://inc42.com/buzz/sharechat-moj-parent-fires-500-employees/,1700.00,Series H,1/16/2023 16:31,India,Unknown,,,,,,,
ClearCo,Toronto,Finance,50,30%,1/16/2023,https://betakit.com/michele-romanow-clearco-ceo-layoffs/,698.00,Series C,1/16/2023 16:50,Canada,Unknown,,,,,,,
Snappy,New York City,Marketing,100,30%,1/15/2023,https://www.calcalistech.com/ctechnews/article/byyrkbzso,104.00,Series C,1/19/2023 4:15,United States,Unknown,,,,,,,
BharatAgri,Mumbai,Food,40,43%,1/15/2023,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/layoffs-spread-to-dunzo-sharechat-rebel-foods-and-agri-tech-firms/articleshow/97016331.cms?from=mdr,21.00,Series A,1/16/2023 16:49,India,Unknown,,,,,,,
Bonterra ,Austin,Other,140,10%,1/13/2023,https://www.thenonprofittimes.com/npt_articles/bonterra-lays-off-10-of-staff/,,Unknown,1/17/2023 16:48,United States,Unknown,,,,,,,
Lending Club,SF Bay Area,Finance,225,14%,1/12/2023,https://www.bloomberg.com/news/articles/2023-01-12/lendingclub-to-cut-14-of-workers-take-charges-of-5-7-million,392.00,IPO,1/12/2023 22:55,United States,Unknown,,,,,,,
SmartNews,Tokyo,Media,120,40%,1/12/2023,https://techcrunch.com/2023/01/12/news-aggregator-smartnews-lays-off-40-of-non-japan-staff-with-further-reductions-planned-in-japan/,410.00,Series F,1/13/2023 3:34,United States,Unknown,,,,,,,
Pier,Sao Paulo,Finance,111,39%,1/12/2023,https://startups.com.br/noticias/insurtech-pier-demite-cerca-de-39-da-forca-de-trabalho/,42.00,Series B,1/12/2023 17:14,Brazil,Unknown,,,,,,,
Blockchain.com,London,Crypto,110,28%,1/12/2023,https://www.coindesk.com/business/2023/01/12/crypto-brokerage-blockchaincom-lays-off-28-of-workforce-as-industrys-cruel-winter-continues/,490.00,Series D,1/12/2023 16:22,United Kingdom,Unknown,,,,,,,
Greenlight,Atlanta,Finance,104,21%,1/12/2023,https://techcrunch.com/2023/01/12/greenlight-fintech-layoff/,556.00,Series D,1/12/2023 22:53,United States,Unknown,,,,,,,
Definitive Healthcare,Boston,Healthcare,55,6%,1/12/2023,https://www.cmlviz.com/stocks/DH/news/b/2023/01/12/definitive-healthcare-to-cut-current-workforce-by-about-55-people,,IPO,1/13/2023 1:55,United States,Unknown,,,,,,,
Akili Labs,Baltimore,Healthcare,46,30%,1/12/2023,https://bhbusiness.com/2023/01/12/digital-therapeutics-startup-akili-plans-to-lay-off-30-of-staff/,,Seed,1/14/2023 17:24,United States,Unknown,,,,,,,
Flexport,SF Bay Area,Logistics,640,20%,1/11/2023,https://www.cnbc.com/2023/01/11/flexport-to-lay-off-20percent-of-its-global-workforce.html,2400.00,Series E,1/11/2023 17:30,United States,"https://alumni.flexport.com/
",,,,,,,
Qualtrics,Salt Lake City,Other,270,5%,1/11/2023,https://www.marketwatch.com/story/qualtrics-to-shave-about-270-jobs-or-less-than-5-of-workforce-2023-01-11,400.00,IPO,1/12/2023 15:18,United States,Unknown,,,,,,,
Verily,SF Bay Area,Healthcare,250,15%,1/11/2023,https://www.theinformation.com/articles/alphabets-verily-lays-off-staff,3500.00,Unknown,1/11/2023 21:24,United States,Unknown,,,,,,,
Tipalti,SF Bay Area,Finance,123,11%,1/11/2023,https://www.calcalistech.com/ctechnews/article/bjj82m39i,565.00,Series F,1/12/2023 0:53,United States,Unknown,,,,,,,
Jumio,SF Bay Area,Security,100,6%,1/11/2023,https://www.biometricupdate.com/202301/jumio-downsizes-as-identity-verification-providers-respond-to-economic-climate,205.00,Private Equity,1/12/2023 16:19,United States,Unknown,,,,,,,
Intrinsic,SF Bay Area,Other,40,20%,1/11/2023,https://www.theinformation.com/articles/alphabet-job-cuts-widen-to-robotics-subsidiary,,Acquired,1/12/2023 15:03,United States,Unknown,,,,,,,
Coinbase,SF Bay Area,Crypto,950,20%,1/10/2023,https://www.cnbc.com/2023/01/10/coinbase-to-slash-20percent-of-workforce-in-second-major-round-of-job-cuts.html,549.00,IPO,1/10/2023 14:52,United States,Unknown,,,,,,,
Informatica,SF Bay Area,Data,450,7%,1/10/2023,https://www.channelfutures.com/business-models/informatica-layoffs-to-slash-7-of-workforce-cfo-stepping-down,,IPO,1/10/2023 23:49,United States,Unknown,,,,,,,
Blend,SF Bay Area,Finance,340,28%,1/10/2023,https://www.inman.com/2023/01/10/blend-cuts-nearly-30-of-workforce-in-blistering-4th-round-of-layoffs/,665.00,IPO,1/10/2023 23:52,United States,Unknown,,,,,,,
ConsenSys,New York City,Crypto,100,11%,1/10/2023,https://www.coindesk.com/business/2023/01/10/ethereum-software-firm-consensys-to-cut-upwards-of-100-staff-as-crypto-bear-market-takes-another-casualty/,726.00,Series D,1/10/2023 23:53,United States,Unknown,,,,,,,
ForeScout,SF Bay Area,Security,100,10%,1/10/2023,https://www.calcalistech.com/ctechnews/article/hkyo39k9o,125.00,IPO,1/10/2023 16:42,United States,Unknown,,,,,,,
Thinkific,Vancouver,Education,76,19%,1/10/2023,https://betakit.com/thinkific-makes-more-layoffs-as-part-of-push-towards-profitability/,22.00,IPO,1/10/2023 23:54,Canada,Unknown,,,,,,,
Parler,Nashville,Consumer,60,75%,1/10/2023,https://www.theverge.com/2023/1/10/23549198/parler-parlement-technologies-layoffs-gettr-george-farmer-candace-owens,36.00,Series B,1/11/2023 0:59,United States,Unknown,,,,,,,
GoBolt,Toronto,Logistics,55,5%,1/10/2023,https://betakit.com/gobolt-lays-off-five-percent-of-staff-shortly-after-75-million-raise-citing-worsening-consumer-demand/,178.00,Series C,1/11/2023 0:57,Canada,Unknown,,,,,,,
Relevel,Bengaluru,HR,40,20%,1/10/2023,https://inc42.com/buzz/unacademy-owned-relevel-to-layoff-40-employees-as-focus-shifts-to-test-product-business/,,Unknown,1/12/2023 15:20,India,Unknown,,,,,,,
StreamElements,Tel Aviv,Media,40,20%,1/10/2023,https://www.calcalistech.com/ctechnews/article/hjvdymj5o,111.00,Series B,1/11/2023 0:59,Israel,Unknown,,,,,,,
Fate Therapeutics,San Diego,Healthcare,315,57%,1/9/2023,"https://www.sandiegouniontribune.com/business/story/2023-01-09/san-diegos-fate-therapeutics-lays-off-315-employees-more-than-half-of-its-workforce#:~:text=Fate%20Therapeutics%2C%20a%20San%20Diego,collaboration%20agreement%20with%20Janssen%20Biotech",1200.00,IPO,1/13/2023 1:56,United States,Unknown,,,,,,,
Minute Media,London,Media,50,10%,1/8/2023,https://www.calcalistech.com/ctechnews/article/bjoxf00d5i,160.00,Series I,1/9/2023 5:15,United Kingdom,Unknown,,,,,,,
WalkMe,SF Bay Area,Other,43,3%,1/8/2023,https://www.calcalistech.com/ctechnews/article/bkzauhoqo,307.00,IPO,1/9/2023 5:14,United States,Unknown,,,,,,,
Huobi,Beijing,Crypto,275,20%,1/6/2023,https://www.reuters.com/technology/crypto-exchange-huobi-lay-off-20-staff-justin-sun-2023-01-06/,2.00,Unknown,1/6/2023 23:12,China,Unknown,,,,,,,
Bounce,Bengaluru,Transportation,40,5%,1/6/2023,https://www.moneycontrol.com/news/business/announcements/sequoia-backed-bounce-lays-off-5-of-staff-to-cut-costs-9822961.html,214.00,Series D,1/9/2023 5:03,India,Unknown,,,,,,,
SoundHound,SF Bay Area,Other,200,50%,1/5/2023,https://gizmodo.com/soundhound-lays-off-half-employees-pitiful-severance-1849987534,326.00,IPO,1/5/2023 20:21,United States,Unknown,,,,,,,
Socure,Reno,Finance,104,19%,1/5/2023,https://www.biometricupdate.com/202301/socure-slashes-workforce,646.00,Series E,1/6/2023 1:48,United States,Unknown,,,,,,,
Genesis,New York City,Crypto,60,30%,1/5/2023,https://www.cnbc.com/2023/01/05/crypto-lender-genesis-trading-lays-off-30percent-of-workforce.html,,Series A,1/5/2023 20:18,United States,Unknown,,,,,,,
Moglix,Singapore,Retail,40,2%,1/5/2023,https://inc42.com/buzz/b2b-ecommerce-unicorn-moglix-layoff-spree-fires-40-employees/,472.00,Series F,1/6/2023 1:37,Singapore,Unknown,,,,,,,
Everlane,SF Bay Area,Retail,30,17%,1/5/2023,https://www.theinformation.com/articles/everlane-slashes-17-of-corporate-employees,176.00,Unknown,1/6/2023 5:31,United States,https://docs.google.com/spreadsheets/d/1YoFJH3gcatySfxtuP8J29f8PKxa_QioV/edit#gid=1630944007,,,,,,,
Pecan AI,Tel Aviv,Data,30,25%,1/5/2023,https://www.calcalistech.com/ctechnews/article/hkrgrqvqo,116.00,Series C,1/9/2023 5:20,Israel,Unknown,,,,,,,
Personetics,New York City,Support,30,8%,1/5/2023,https://www.calcalistech.com/ctechnews/article/sjlizvvcs,178.00,Private Equity,1/6/2023 1:33,United States,Unknown,,,,,,,
Twine Solutions ,Tel Aviv,Hardware,30,33%,1/5/2023,https://www.calcalistech.com/ctechnews/article/bkniefe5o,50.00,Unknown,1/9/2023 5:20,Israel,Unknown,,,,,,,
UpScalio,Gurugram,Retail,25,15%,1/5/2023,https://www.techinasia.com/indiabased-rollup-firm-upscalio-lays-15-staff,62.00,Series B,1/6/2023 1:32,India,Unknown,,,,,,,
Amazon,Seattle,Retail,8000,2%,1/4/2023,https://www.wsj.com/articles/amazon-to-lay-off-over-17-000-workers-more-than-first-planned-11672874304,108.00,IPO,1/5/2023 4:17,United States,Unknown,,,,,,,
Salesforce,SF Bay Area,Sales,8000,10%,1/4/2023,https://www.nytimes.com/2023/01/04/business/salesforce-layoffs.html,65.00,IPO,1/4/2023 15:39,United States,https://docs.google.com/spreadsheets/d/1FViDWnYrEvyj7HY3MQ6tt-clf7nZ25DfyTzUrSwh-RY/htmlview,,,,,,,
Astronomer,Cincinnati,Data,76,20%,1/4/2023,https://www.astronomer.io/blog/astronomer-update/,282.00,Series C,1/6/2023 23:16,United States,Unknown,,,,,,,
